title,pmid,url,abstract
Tumor-educated B cells selectively promote breast cancer lymph node metastasis by HSPA4-targeting IgG,30643287,https://pubmed.ncbi.nlm.nih.gov/30643287,"Primary tumors may create the premetastatic niche in secondary organs for subsequent metastasis. Humoral immunity contributes to the progression of certain cancers, but the roles of B cells and their derived antibodies in premetastatic niche formation are poorly defined. Using a mouse model of spontaneous lymph node metastasis of breast cancer, we show that primary tumors induced B cell accumulation in draining lymph nodes. These B cells selectively promoted lymph node metastasis by producing pathogenic IgG that targeted glycosylated membrane protein HSPA4, and activated the HSPA4-binding protein ITGB5 and the downstream Src/NF-κB pathway in tumor cells for CXCR4/SDF1α-axis-mediated metastasis. High serum anti-HSPA4 IgG was correlated with high tumor HSPA4 expression and poor prognosis of breast cancer subjects. Our findings identify a key role for tumor-educated B cells and their derived antibodies in lymph node premetastatic niche formation, providing potential targets for cancer intervention."
HSPA4 upregulation induces immune evasion via ALKBH5/CD58 axis in gastric cancer,38589927,https://pubmed.ncbi.nlm.nih.gov/38589927,"Introduction:
        

      
      Gastric cancer (GC) is one of the leading causes of cancer-related death worldwide. Recently, targeted therapies including PD1 (programmed cell death 1) antibodies have been used in advanced GC patients. However, identifying new biomarker for immunotherapy is still urgently needed. The objective of this study is to unveil the immune evasion mechanism of GC cells and identify new biomarkers for immune checkpoint blockade therapy in patients with GC.
    





          Methods:
        

      
      Coimmunoprecipitation and meRIP were performed to investigate the mechanism of immune evasion of GC cells. Cocuture system was established to evaluate the cytotoxicity of cocultured CD8
+
 T cells. The clinical significance of HSPA4 upregulation was analyzed by multiplex fluorescent immunohistochemistry staining in GC tumor tissues.
    





          Results:
        

      
      Histone acetylation causes HSPA4 upregulation in GC tumor tissues. HSPA4 upregulation increases the protein stability of m
6
A demethylase ALKBH5. ALKBH5 decreases CD58 in GC cells through m
6
A methylation regulation. The cytotoxicity of CD8
+
 T cells are impaired and PD1/PDL1 axis is activated when CD8
+
 T cells are cocultured with HSPA4 overexpressed GC cells. HSPA4 upregulation is associated with worse 5-year overall survival of GC patients receiving only surgery. It is an independent prognosis factor for worse survival of GC patients. In GC patients receiving the combined chemotherapy with anti-PD1 immunotherapy, HSPA4 upregulation is observed in responders compared with non-responders.
    





          Conclusion:
        

      
      HSPA4 upregulation causes the decrease of CD58 in GC cells via HSPA4/ALKBH5/CD58 axis, followed by PD1/PDL1 activation and impairment of CD8
+
 T cell's cytotoxicity, finally induces immune evasion of GC cells. HSPA4 upregulation is associated with worse overall survival of GC patients with only surgery. Meanwhile, HSPA4 upregulation predicts for better response in GC patients receiving the combined immunotherapy."
HSPA4 Knockdown Retarded Progression and Development of Colorectal Cancer,34163243,https://pubmed.ncbi.nlm.nih.gov/34163243,"Purpose:
        

      
      Colorectal cancer (CRC) is a common malignancy associated with high morbidity and mortality. Heat shock 70 kDa protein 4 (HSPA4) has been shown to exert regulatory roles during tumor progression in different cancer types. Here, we investigated the expression and cellular functions of HSPA4 in CRC.
    





          Materials and methods:
        

      
      Expression of HSPA4 in CRC tissues and paracancerous tissues was analyzed by RT-qPCR and immunohistochemistry IHC staining. The functional roles of HSPA4 were explored using shRNA-mediated knockdown in HCT116 and RKO CRC cell lines, both in vitro and in tumor xenograft studies.
    





          Results:
        

      
      HSPA4 expression was significantly increased at the RNA and protein levels in CRC tissues compared with noncancerous tissues. Moreover, HSPA4 expression was positively associated with tumor stage and its high expression of HSPA4 indicated poor patient prognosis. In vitro studies established that HSPA4 knockdown inhibited proliferation and migration, causing arrest in the G2-phase of the cell cycle along with increased levels of apoptosis. This phenotype was recapitulated in vivo where HSPA4 knockdown suppressed xenograft growth. Mechanistic investigations showed silencing of HSPA4 reduced activation of the PI3K, Akt signaling axis while also downregulating the cell cycle progression markers, CCND1 and CDK6. Similarly, there was altered expression of apoptosis-related proteins consistent with the increase in apoptosis.
    





          Conclusion:
        

      
      Our findings demonstrate clinical significance for HSPA4 in CRC, further showing that HSPA4 contributes to CRC tumorigenesis through effects on proliferation, migration and survival. Thus, HSPA4 represents a novel prognostic indicator as well as a promising therapeutic target in CRC."
"HSPA4, the ""Evil Chaperone"" of the HSP Family, Delays Gastric Ulcer Healing",25732714,https://pubmed.ncbi.nlm.nih.gov/25732714,
Significant correlation between HSPA4 and prognosis and immune regulation in hepatocellular carcinoma,34754620,https://pubmed.ncbi.nlm.nih.gov/34754620,"Background:
        

      
      Hepatocellular carcinoma (HCC) is an inflammation-associated tumor involved in immune tolerance and evasion in the immune microenvironment. Heat shock proteins (HSPs) are involved in the occurrence, progression, and immune regulation of tumors. Therefore, HSPs have been considered potential therapeutic targets. Here, we aimed to elucidate the value of HSP family A (Hsp70) member 4 (HSPA4) in the diagnosis and predicting prognosis of HCC, and its relationship with immune cell infiltration, immune cell biomarkers, and immune checkpoints. Gene mutation, DNA methylation, and the pathway involved in HCC were also analyzed.
    





          Methods:
        

      
      The gene expression omnibus (GEO) and The Cancer Genome Atlas (TCGA) databases were used to compare HSPA4 expression, and the results were confirmed by immunohistochemical staining of clinical samples. R package was used to analyze the correlation between HSPA4 and cancer stage, and to establish receiver operating characteristic (ROC) curve of diagnosis, time-dependent survival ROC curve, and a nomogram model. cBioPortal and MethSurv were used to identify genetic alterations and DNA methylation, and their effect on prognosis. The Tumor Immune Estimation Resource (TIMER) was used to analyze immune cell infiltration, immune cell biomarkers, and immune checkpoints. The STRING database was used to analyze protein-protein interaction network information. Gene Ontology (GO) analysis and the Kyoto Encyclopedia of Genes and Genomes (KEGG) analyses were performed to investigate the functions of HSPA4 and its functional partner genes.
    





          Results:
        

      
      Overexpression of HSPA4 was identified in 25 cancers. Overexpression of HSPA4 considerably correlated with cancer stage and alpha-fetoprotein (AFP) level in HCC. Patients with higher HSPA4 expression showed poorer prognosis. HSPA4 expression can accurately identify tumor from normal tissue (AUC = 0.957). The area under 1-, 3-, and 5-year survival ROCs were above 0.6. The HSPA4 genetic alteration rate was 1.3%. Among the 14 DNA methylation CpG sites, seven were related to the prognosis of HCC. HSPA4 was positively related to immune cell infiltration and immune checkpoints (PD-1 and CTLA-4) in HCC. The KEGG pathway enrichment analysis revealed HSPA4 enrichment in antigen processing and presentation together with HSPA8 and HSP90AA1. We verified the value of HSPA4 in the diagnosis and predicting prognosis of HCC. HSPA4 may not only participate in the occurrence and progression but also the immune regulation of HCC. Therefore, HSPA4 can be a potential diagnostic and prognostic biomarker and a therapeutic target for HCC."
HSPA4 regulated glioma progression via activation of AKT signaling pathway,37339521,https://pubmed.ncbi.nlm.nih.gov/37339521,"Glioma is still an incurable disease with high invasiveness. Heat shock 70 kDa protein 4 (HSPA4) is a member of the HSP110 family, and is associated with the development and progression of various cancers. In the current study, we assessed the expression of HSPA4 in clinical samples, and found that HSPA4 was up-regulated in glioma tissues and correlated with tumor recurrence and grade. Survival analyses demonstrated that glioma patients with high HSPA4 expression had lower overall survival and disease-free survival times. In vitro knockdown of HSPA4 inhibited glioma cell proliferation, mediated cell cycle arrest at G2 phase and apoptosis, and reduced the migration ability. In vivo, the growth of HSPA4-knockdown xenografts was markedly suppressed compared to the tumors formed by HSPA4-positive control cells. Additionally, Gene set enrichment analyses disclosed that HSPA4 was associated with the PI3K/Akt signaling pathway. The regulatory effect of the AKT activator SC79 on cell proliferation and apoptosis was suppressed by HSPA4 knockdown, indicating that HSPA4 is capable of promoting glioma development. In summary, these data showed that HSPA4 is likely to play a pivotal role in the progression of glioma, and consequently may be a promising therapeutic target for glioma therapy."
HSPA4 Is a Biomarker of Placenta Accreta and Enhances the Angiogenesis Ability of Vessel Endothelial Cells,35628491,https://pubmed.ncbi.nlm.nih.gov/35628491,"Placenta accreta spectrum (PAS) accounts for 7% of maternal mortality and is associated with intraoperative and postoperative morbidity caused by massive blood loss, infection, and adjacent organ damage. The aims of this study were to identify the protein biomarkers of PAS and to further explore their pathogenetic roles in PAS. For this purpose, we collected five placentas from pregnant subjects with PAS complications and another five placentas from normal pregnancy (NP) cases. Then, we enriched protein samples by specifically isolating the trophoblast villous, deeply invading into the uterine muscle layer in the PAS patients. Next, fluorescence-based two-dimensional difference gel electrophoresis (2D-DIGE) and MALDI-TOF/MS were used to identify the proteins differentially abundant between PAS and NP placenta tissues. As a result, nineteen spots were determined as differentially abundant proteins, ten and nine of which were more abundant in PAS and NP placenta tissues, respectively. Then, specific validation with western blot assay and immunohisto/cytochemistry (IHC) assay confirmed that heat shock 70 kDa protein 4 (HSPA4) and chorionic somatomammotropin hormone (CSH) were PAS protein biomarkers. Further tube formation assays demonstrated that HSPA4 promoted the in vitro angiogenesis ability of vessel endothelial cells, which is consistent with the in vivo scenario of PAS complications. In this study, we not only identified PAS protein biomarkers but also connected the promoted angiogenesis with placenta invasion, investigating the pathogenetic mechanism of PAS."
SIRT1 attenuates neuroinflammation by deacetylating HSPA4 in a mouse model of Parkinson's disease,35158021,https://pubmed.ncbi.nlm.nih.gov/35158021,"As a deacetylase, SIRT1 plays essential roles in various physiological events, from development to lifespan regulation. SIRT1 has been shown neuroprotective effects in neurodegeneration disorders such as Parkinson's disease (PD). However, the underlying molecular mechanisms are still not well understood. Here, we generated transgenic mice with increased expression of Sirt1 in the brain and examined the potential roles of SIRT1 in PD. Our data showed that SIRT1 repressed proinflammatory cytokine expression both in microglia and astrocytes. In MPTP induced PD model mice, lower levels of microglia and astrocyte activation were observed in SIRT1 transgenic mice. Moreover, the tyrosine hydroxylase (TH) loss in the substantia nigra pars compacta (SNpc) and striatum induced by MPTP was also attenuated by SIRT1. As a consequence, the behavioral defects induced by MPTP were largely prevented in SIRT1 transgenic mice. Mechanistically, SIRT1 interacts with heat shock 70 kDa protein 4 (HSPA4) and deacetylates it at 305, 351 and 605 lysine residues. This deacetylation modification induces the nuclear translocation of HSPA4 and thus to repress proinflammatory cytokine expression. On the contrary, mutated HSPA4, in which 305/351/605 lysine residues were replaced with arginine, was mainly localized in the cytoplasm and losses its repression on proinflammatory cytokine expression. Taken together, our data indicate that SIRT1 plays beneficial roles in PD model mice, which is likely due to, at least in part, its anti-inflammation activity in glial cells by deacetylating HSPA4. Furthermore, HSPA4 might be a druggable target for developing novel agents for treating neuroinflammation associated disorders such as PD."
Respiratory distress and early neonatal lethality in Hspa4l/Hspa4 double-mutant mice,23980576,https://pubmed.ncbi.nlm.nih.gov/23980576,"Heat shock proteins HSPA4L and HSPA4 are closely related members of the HSP110 family and act as cochaperones. We generated Hspa4l(-/-)Hspa4(-/-) mice to investigate a functional complementarity between HSPA4L and HSPA4 during embryonic development. Hspa4l(-/-)Hspa4(-/-) embryos exhibited marked pulmonary hypoplasia and neonatal death. Compared with lungs of wild-type, Hspa4l(-/-), and Hspa4(-/-) embryos, Hspa4l(-/-)Hspa4(-/-) lungs were characterized by diminished saccular spaces and increased mesenchymal septa. Mesenchymal hypercellularity was determined to be due to an increased cell proliferation index and decreased cell death. A significant increase in expression levels of prosurvival protein B cell leukemia/lymphoma 2 may be the cause for inhibition of apoptotic process in lungs of Hspa4(-/-)Hspa4l(-/-) embryos. Accumulation of glycogen and diminished expression of surfactant protein B, prosurfactant protein C, and aquaporin 5 in saccular epithelium suggested impaired maturation of type II and type I pneumocytes in the Hspa4l(-/-)Hspa4(-/-) lungs. Further experiments showed a significant accumulation of ubiquitinated proteins in the lungs of Hspa4l(-/-)Hspa4(-/-) embryos, indicating an impaired chaperone activity. Our study demonstrates that HSPA4L and HSPA4 collaborate in embryonic lung maturation, which is necessary for adaptation to air breathing at birth."
Heat-shock protein HSPA4 is required for progression of spermatogenesis,21487003,https://pubmed.ncbi.nlm.nih.gov/21487003,"Heat-shock protein 110 (HSP110) family members act as nucleotide exchange factors (NEF) of mammalian and yeast HSP70 chaperones during the ATP hydrolysis cycle. In this study, we describe the expression pattern of murine HSPA4, a member of the HSP110 family, during testis development and the consequence of HSPA4 deficiency on male fertility. HSPA4 is ubiquitously expressed in all the examined tissues. During prenatal and postnatal development of gonad, HSPA4 is expressed in both somatic and germ cells; however, expression was much higher in germ cells of prenatal gonads. Analyses of Hspa4-deficient mice revealed that all homozygous mice on the hybrid C57BL/6J×129/Sv genetic background were apparently healthy. Although HSPA4 is expressed as early as E13.5 in male gonad, a lack of histological differences between Hspa4(-/-) and control littermates suggests that Hspa4 deficiency does not impair the gonocytes or their development to spermatogonia. Remarkably, an increased number of the Hspa4-deficient males displayed impaired fertility, whereas females were fertile. The total number of spermatozoa and their motility were drastically reduced in infertile Hspa4-deficient mice compared with wild-type littermates. The majority of pachytene spermatocytes in the juvenile Hspa4(-/-) mice failed to complete the first meiotic prophase and became apoptotic. Furthermore, down-regulation of transcription levels of genes known to be expressed in spermatocytes at late stages of prophase I and post-meiotic spermatids leads to suggest that the development of most spermatogenic cells is arrested at late stages of meiotic prophase I. These results provide evidence that HSPA4 is required for normal spermatogenesis."
